name,gscreen_pistacking0,gscreen_hydrogenbonding0,gscreen_hydrogenbonding1,gscreen_hydrogenbonding2,gscreen_hydrogenbonding3,gscreen_hydrogenbonding4,gscreen_hydrogenbonding5,gscreen_hydrogenbonding6,gscreen_hydrogenbonding7,gscreen_hydrogenbonding8,gscreen_hydrogenbonding9,pharma_score,shape_score,tani_sim
C37734017,1,1,1,2,0,0,0,1,0,1,0,0.6363636363636365,0.7029,0.08235294117647059
C12378588,0,0,0,0,0,0,0,1,1,1,2,0.4545454545454546,0.5742,0.0975609756097561
C49175824,0,1,1,1,0,0,1,0,0,1,0,0.4545454545454546,0.6178,0.06896551724137931
C49729387,1,0,0,1,1,0,0,0,0,1,0,0.36363636363636365,0.6788,0.08536585365853659
C04276264,0,1,0,1,0,0,0,1,1,0,0,0.36363636363636365,0.6704,0.08641975308641975
C40507770,0,0,0,1,1,0,0,1,1,0,0,0.36363636363636365,0.7535,0.08433734939759036
C44785387,0,1,1,0,1,1,0,0,0,0,0,0.36363636363636365,0.6381,0.08433734939759036
C44882720,0,1,1,1,0,0,0,0,0,1,0,0.36363636363636365,0.6198,0.047058823529411764
C40381215,0,0,0,0,0,0,0,1,1,1,0,0.2727272727272727,0.6729,0.07954545454545454
C40579994,0,0,0,0,0,0,0,1,1,1,0,0.2727272727272727,0.6121,0.05952380952380952
C40481551,0,1,1,1,0,0,0,0,0,0,0,0.2727272727272727,0.6172,0.07142857142857142
C22298858,2,0,0,0,0,0,0,0,0,0,1,0.2727272727272727,0.6952,0.06818181818181818
C42393334,1,0,1,0,0,0,0,0,0,1,0,0.2727272727272727,0.6804,0.09090909090909091
C09689614,0,0,0,1,0,0,0,0,0,1,1,0.2727272727272727,0.6701,0.07317073170731707
C63175087,0,0,0,0,0,0,1,0,0,1,1,0.2727272727272727,0.6277,0.07317073170731707
C40214562,1,0,0,0,0,0,0,1,1,0,0,0.2727272727272727,0.6627,0.08641975308641975
C50250986,0,0,0,0,1,1,0,0,0,1,0,0.2727272727272727,0.5768,0.06097560975609756
C01717609,1,0,0,0,0,0,0,1,1,0,0,0.2727272727272727,0.5959,0.10294117647058823
C54700167,1,0,0,0,0,0,1,0,0,0,1,0.2727272727272727,0.6301,0.05813953488372093
C05625199,0,0,0,0,1,0,0,0,1,1,0,0.2727272727272727,0.6872,0.07865168539325842
C40378184,1,1,0,0,0,0,0,0,0,1,0,0.2727272727272727,0.5517,0.05405405405405406
C19470026,0,0,0,1,0,1,0,0,0,1,0,0.2727272727272727,0.6872,0.07317073170731707
C51147792,1,0,0,0,0,0,0,1,1,0,0,0.2727272727272727,0.6818,0.09302325581395349
C49164638,1,0,0,0,0,0,0,0,0,1,1,0.2727272727272727,0.6935,0.06976744186046512
C49519796,0,1,0,1,0,0,1,0,0,0,0,0.2727272727272727,0.5972,0.09523809523809523
C03595742,0,0,0,0,0,0,0,0,0,1,1,0.18181818181818182,0.6398,0.09090909090909091
C03200839,1,0,0,0,0,0,0,0,0,0,1,0.18181818181818182,0.6467,0.0641025641025641
C53919577,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.6328,0.05333333333333334
C44976540,0,0,1,1,0,0,0,0,0,0,0,0.18181818181818182,0.5862,0.07407407407407407
C06693991,0,0,0,1,0,0,0,0,0,1,0,0.18181818181818182,0.6793,0.08695652173913043
C37516593,0,1,1,0,0,0,0,0,0,0,0,0.18181818181818182,0.595,0.0759493670886076
C36262169,0,0,1,1,0,0,0,0,0,0,0,0.18181818181818182,0.649,0.11904761904761904
C16952454,0,0,0,0,1,1,0,0,0,0,0,0.18181818181818182,0.7061,0.09090909090909091
C62714167,1,0,0,0,0,0,0,0,0,0,1,0.18181818181818182,0.5099,0.0958904109589041
C40531703,0,0,0,0,0,0,0,0,1,1,0,0.18181818181818182,0.6933,0.06097560975609756
C50244473,0,0,0,1,0,0,0,0,1,0,0,0.18181818181818182,0.5938,0.06097560975609756
C63176347,0,0,0,0,0,0,1,0,0,1,0,0.18181818181818182,0.5651,0.05063291139240506
C54336591,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.6153,0.047058823529411764
C43428671,0,0,0,0,0,0,0,0,1,1,0,0.18181818181818182,0.6466,0.06818181818181818
C34977848,0,0,0,0,1,0,0,1,0,0,0,0.18181818181818182,0.5328,0.06666666666666667
C51355295,0,0,0,0,1,0,0,0,0,0,1,0.18181818181818182,0.5319,0.0625
C19479163,0,0,0,0,0,0,0,1,0,1,0,0.18181818181818182,0.5522,0.06944444444444445
C48961036,0,0,0,0,2,0,0,0,0,0,0,0.18181818181818182,0.604,0.11627906976744186
C27398216,1,0,0,0,0,0,0,0,0,1,0,0.18181818181818182,0.606,0.07792207792207792
C45047472,0,0,0,0,1,1,0,0,0,0,0,0.18181818181818182,0.6022,0.08536585365853659
C36962886,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.5674,0.05063291139240506
C58305024,0,0,0,1,0,0,0,0,1,0,0,0.18181818181818182,0.7166,0.09195402298850575
C15206064,0,0,0,0,1,0,1,0,0,0,0,0.18181818181818182,0.4579,0.04838709677419355
C12656254,0,0,0,0,1,1,0,0,0,0,0,0.18181818181818182,0.7714,0.08433734939759036
C42405398,0,0,0,0,0,0,1,0,0,1,0,0.18181818181818182,0.5453,0.0625
C19514181,1,0,0,0,0,0,0,0,0,1,0,0.18181818181818182,0.5453,0.06666666666666667
