Query name                     Template name                       Score
C14753102                      NOC_434_1LI4                       0.6126
C60860618                      NOC_434_1LI4                       0.7055
C41759990                      NOC_434_1LI4                       0.5804
C38011768                      NOC_434_1LI4                       0.6314
C62100016                      NOC_434_1LI4                       0.7151
C40578816                      NOC_434_1LI4                       0.5571
C41644994                      NOC_434_1LI4                       0.6879
C67043271                      NOC_434_1LI4                       0.7234
C60378765                      NOC_434_1LI4                       0.7444
C37325401                      NOC_434_1LI4                       0.6203
C66740168                      NOC_434_1LI4                       0.6498
C43413680                      NOC_434_1LI4                       0.5872
C42163591                      NOC_434_1LI4                       0.5737
C62811474                      NOC_434_1LI4                       0.5877
C40912236                      NOC_434_1LI4                       0.5457
C44452957                      NOC_434_1LI4                       0.6538
C67447285                      NOC_434_1LI4                       0.7401
C63534040                      NOC_434_1LI4                       0.6862
C40397239                      NOC_434_1LI4                       0.6428
C13483915                      NOC_434_1LI4                       0.6932
C44846196                      NOC_434_1LI4                       0.5911
C44977230                      NOC_434_1LI4                       0.6990
C03897446                      NOC_434_1LI4                       0.7676
C48843397                      NOC_434_1LI4                       0.6139
C20758721                      NOC_434_1LI4                       0.7976
C19967015                      NOC_434_1LI4                       0.6856
C65191733                      NOC_434_1LI4                       0.7291
C48644555                      NOC_434_1LI4                       0.6298
C36201453                      NOC_434_1LI4                       0.6394
C45709432                      NOC_434_1LI4                       0.5729
C48941951                      NOC_434_1LI4                       0.5932
C01655778                      NOC_434_1LI4                       0.6139
C49571650                      NOC_434_1LI4                       0.6417
C09949551                      NOC_434_1LI4                       0.7201
C37745171                      NOC_434_1LI4                       0.6455
C65919688                      NOC_434_1LI4                       0.6339
C49183517                      NOC_434_1LI4                       0.7163
C37744340                      NOC_434_1LI4                       0.7068
C50397094                      NOC_434_1LI4                       0.7529
C49468537                      NOC_434_1LI4                       0.6086
C05400089                      NOC_434_1LI4                       0.6100
C50398251                      NOC_434_1LI4                       0.6391
C20357448                      NOC_434_1LI4                       0.6393
C40445059                      NOC_434_1LI4                       0.5722
C67164911                      NOC_434_1LI4                       0.6606
C51147518                      NOC_434_1LI4                       0.6559
C40218797                      NOC_434_1LI4                       0.6568
C42134625                      NOC_434_1LI4                       0.7223
C51088950                      NOC_434_1LI4                       0.6700
C20354545                      NOC_434_1LI4                       0.7133
C61147883                      NOC_434_1LI4                       0.5493
C58348526                      NOC_434_1LI4                       0.5949
C42549524                      NOC_434_1LI4                       0.6067
C02568983                      NOC_434_1LI4                       0.6068
C48733783                      NOC_434_1LI4                       0.6862
C42430347                      NOC_434_1LI4                       0.5992
C63139203                      NOC_434_1LI4                       0.5436
C52125743                      NOC_434_1LI4                       0.6317
C36165388                      NOC_434_1LI4                       0.6265
C04625566                      NOC_434_1LI4                       0.5675
C60862332                      NOC_434_1LI4                       0.7220
C44528730                      NOC_434_1LI4                       0.5871
C20354534                      NOC_434_1LI4                       0.6974
C15479658                      NOC_434_1LI4                       0.6818
C44784596                      NOC_434_1LI4                       0.5855
C01848430                      NOC_434_1LI4                       0.4927
C57292339                      NOC_434_1LI4                       0.5698
C37934349                      NOC_434_1LI4                       0.6110
C06494770                      NOC_434_1LI4                       0.4344
C63795432                      NOC_434_1LI4                       0.6357
C48892252                      NOC_434_1LI4                       0.6438
C36746095                      NOC_434_1LI4                       0.6906
C62875784                      NOC_434_1LI4                       0.5873
C34938248                      NOC_434_1LI4                       0.6251
C35279474                      NOC_434_1LI4                       0.6608
C06780579                      NOC_434_1LI4                       0.5455
C40827239                      NOC_434_1LI4                       0.6806
C06904132                      NOC_434_1LI4                       0.5000
C67273441                      NOC_434_1LI4                       0.7585
C48949735                      NOC_434_1LI4                       0.5808
C37730283                      NOC_434_1LI4                       0.6120
C58392743                      NOC_434_1LI4                       0.6215
C50305388                      NOC_434_1LI4                       0.6087
C37796901                      NOC_434_1LI4                       0.5849
C00351018                      NOC_434_1LI4                       0.5653
C44791522                      NOC_434_1LI4                       0.6115
C35247850                      NOC_434_1LI4                       0.5572
C04308827                      NOC_434_1LI4                       0.6193
C49476064                      NOC_434_1LI4                       0.5637
C40217414                      NOC_434_1LI4                       0.6631
C66636860                      NOC_434_1LI4                       0.6163
C51116897                      NOC_434_1LI4                       0.6748
C37996474                      NOC_434_1LI4                       0.5558
C04615397                      NOC_434_1LI4                       0.5974
C48949321                      NOC_434_1LI4                       0.6531
C01395545                      NOC_434_1LI4                       0.6007
C06022825                      NOC_434_1LI4                       0.6200
C49104725                      NOC_434_1LI4                       0.7037
C48837477                      NOC_434_1LI4                       0.6795
C66741093                      NOC_434_1LI4                       0.7551
C56247446                      NOC_434_1LI4                       0.6705
C36277997                      NOC_434_1LI4                       0.6560
C62946801                      NOC_434_1LI4                       0.7040
C49105877                      NOC_434_1LI4                       0.6975
C40220654                      NOC_434_1LI4                       0.5021
C61591577                      NOC_434_1LI4                       0.6116
C49127650                      NOC_434_1LI4                       0.5473
C34977762                      NOC_434_1LI4                       0.5741
galux-align: processed 108 molecules in 9.491136376s.
Average (per molecule): 87.88089225ms.
